replicate ,temp,age_gp,inoc,CollD5,RhizD5,coinfectedD5,plaD5,tillersD5,CollD7,RhizD7,coinfectedD7,plaD7,tillersD7,CollD10,RhizD10,coinfectedD10,plaD10,tillersD10,CollD12,RhizD12,coinfectedD12,plaD12,tillersD12,CollD15,RhizD15,coinfectedD15,plaD15,tillersD15,CollD20,RhizD20,coinfectedD20,plaD20,tillersD20,dry.biomass,plant_ID
6,21,o,c,0,0,0,0,4,1,0,0,0.5,4,1,0,0,0.5,4,0,0,0,0,0,1,0,0,1,3,0,0,0,0.5,4,,661
6,21,o,c,0,0,0,0,4,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0.5,5,5.66,751
6,21,o,c,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,0,0,0.5,2,1,0,0,0.5,4,0,0,0,0.5,3,,854
6,21,o,c,0,0,0,0,3,1,0,0,0.5,2,1,0,0,0.5,3,1,0,0,0.5,3,1,0,0,0.5,4,0,0,0,0.5,4,,859
3,29,y,c,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0.5,1,0.02,290
6,21,o,c,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,1,0,0,0.5,3,0,0,0,0.5,3,,870
4,21,y,c,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,4,1,0,0,0.5,6,,405
6,21,o,c,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,1,0,0,0.5,4,0,0,0,0.5,4,,888
6,21,o,c,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,0,0,0.5,2,0,0,0,0.5,2,,896
6,21,o,c,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,0,0,0.5,2,0,0,0,0.5,2,,898
4,21,o,c,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,1,0,0,0.5,3,1,0,0,0.5,3,1,0,0,0.5,3,,411
1,29,o,c,1,0,0,0.5,3,1,0,0,0.5,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,1.27,6
1,29,o,c,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0.81,7
1,29,o,c,0,0,0,0,6,0,0,0,0,7,0,0,0,0,6,0,0,0,0,7,0,0,0,0,1,0,0,0,0,7,1.36,18
1,29,o,c,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,4,0.95,19
1,29,y,c,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0.3,20
1,29,y,c,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0.4,21
1,29,y,c,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,0.62,22
1,29,y,c,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,1,0,0,0.5,5,0,0,0,0,3,0.29,25
1,29,y,c,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,0.62,28
1,29,y,c,0,0,0,0,4,1,0,0,1,4,1,0,0,0.5,4,1,0,0,5,4,1,0,0,0.5,5,0,0,0,0,4,0.33,36
1,29,y,c,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0.01,39
1,29,o,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,1.23,40
1,29,o,m,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0.83,41
1,29,o,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0.92,42
1,29,o,m,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,1.09,43
1,29,o,m,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,1.13,44
1,29,o,m,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0,0,0,0,5,1.27,45
1,29,o,m,0,0,0,0,5,0,0,0,0,5,0,0,0,0,6,0,0,0,0,6,0,0,0,0,7,0,0,0,0,6,1.06,46
1,29,o,m,0,0,0,0,4,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,1.13,47
1,29,o,m,0,0,0,0,5,0,0,0,0,5,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,1.44,48
1,29,o,m,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0.87,49
1,29,o,m,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,1.04,50
1,29,o,m,0,0,0,0,6,0,0,0,0,6,0,0,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,0,0,7,1.23,51
1,29,o,m,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0.83,52
1,29,o,m,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0.92,53
1,29,o,m,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,1.06,54
1,29,o,m,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,1.67,55
1,29,o,m,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0.23,56
1,29,o,m,0,0,0,0,5,0,0,0,0,5,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,1.61,57
1,29,o,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,1.1,58
1,29,o,m,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,1.06,59
1,29,o,m,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,1.36,60
1,29,y,m,0,0,0,0,6,0,0,0,0,5,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,0,7,0.08,61
1,29,y,m,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,4,0.39,62
1,29,y,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,4,0.4,63
1,29,y,m,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.15,64
1,29,y,m,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.25,65
1,29,y,m,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.08,66
1,29,y,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.39,67
1,29,y,m,0,0,0,0,6,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.49,68
1,29,y,m,0,0,0,0,7,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.41,69
1,29,y,m,0,0,0,0,7,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.55,70
1,29,y,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.33,71
1,29,y,m,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,72
1,29,y,m,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.47,73
1,29,y,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.27,74
1,29,y,m,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.27,75
1,29,y,m,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.03,76
1,29,y,m,0,0,0,0,3,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.44,77
1,29,y,m,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.46,78
1,29,y,m,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.6,79
1,29,y,m,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.28,80
